"Country","lwr","upper"
"Korea",0.00105309369485343,0.00105309369485343
"Australia",0.0169676166889044,0.0169676166889044
"China",0.0294124681348396,0.0294124681348396
"India",-0.0542724,0.01586647
"Indonesia",-0.0449032531207885,-0.0449032531207885
"Russia",-0.0761009528897629,-0.0761009528897629
"South.Africa",-0.0516779733161129,-0.0516779733161129
"Switzerland",-0.00232011373390477,-0.00232011373390477
"United.States",0.0191384093084987,0.0191384093084987
