Country,lwr,upper
South Korea,0.00105309369485343,0.0128420697544957
Australia,0.0169676166889044,0.0241547478773275
China,0.0294124681348396,0.0419173485924311
India,-0.0542724,0.01586647
Indonesia,-0.0449032531207885,-0.0285612581519432
Russia,-0.0761009528897629,-0.0493789873492053
South.Africa,-0.0516779733161129,-0.0261443043877881
Switzerland,-0.00232011373390477,0.0010808130533852
United.States,0.0191384093084987,0.024430218826565
